"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"11187","SRD129_P169_N_D3",169,"N","D3","Control","Fusobacterium",5e-04,"D3_Control",0.005
"11188","SRD129_P169_N_D36",169,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11189","SRD129_P169_N_D42",169,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11190","SRD129_P169_N_D7",169,"N","D7","Control","Fusobacterium",0.0015,"D7_Control",0.015
"11191","SRD129_P170_N_D0",170,"N","D0","Control","Fusobacterium",0.00250125062531266,"D0_Control",0.0250125062531266
"11192","SRD129_P170_N_D1",170,"N","D1","Control","Fusobacterium",0.00550550550550551,"D1_Control",0.0550550550550551
"11193","SRD129_P170_N_D10",170,"N","D10","Control","Fusobacterium",0,"D10_Control",0
"11194","SRD129_P170_N_D14",170,"N","D14","Control","Fusobacterium",0.00100150225338007,"D14_Control",0.0100150225338007
"11195","SRD129_P170_N_D21",170,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11196","SRD129_P170_N_D28",170,"N","D28","Control","Fusobacterium",0,"D28_Control",0
"11197","SRD129_P170_N_D3",170,"N","D3","Control","Fusobacterium",0.00200300450676014,"D3_Control",0.0200300450676014
"11198","SRD129_P170_N_D36",170,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11199","SRD129_P170_N_D42",170,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11200","SRD129_P170_N_D7",170,"N","D7","Control","Fusobacterium",0.003003003003003,"D7_Control",0.03003003003003
"11201","SRD129_P171_N_D0",171,"N","D0","Control","Fusobacterium",0,"D0_Control",0
"11202","SRD129_P171_N_D1",171,"N","D1","Control","Fusobacterium",0,"D1_Control",0
"11203","SRD129_P171_N_D10",171,"N","D10","Control","Fusobacterium",0.000500250125062531,"D10_Control",0.00500250125062531
"11204","SRD129_P171_N_D14",171,"N","D14","Control","Fusobacterium",0.000501002004008016,"D14_Control",0.00501002004008016
"11205","SRD129_P171_N_D21",171,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11206","SRD129_P171_N_D28",171,"N","D28","Control","Fusobacterium",0.000500751126690035,"D28_Control",0.0125187781672509
"11207","SRD129_P171_N_D3",171,"N","D3","Control","Fusobacterium",0.00300150075037519,"D3_Control",0.0300150075037519
"11208","SRD129_P171_N_D36",171,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11209","SRD129_P171_N_D42",171,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11210","SRD129_P171_N_D7",171,"N","D7","Control","Fusobacterium",0.00250878073256397,"D7_Control",0.0250878073256397
"11211","SRD129_P132_N_D0",132,"N","D0","BB","Lachnospiraceae_AC2044_group",0,"D0_BB",0
"11212","SRD129_P132_N_D10",132,"N","D10","BB","Lachnospiraceae_AC2044_group",0,"D10_BB",0
"11213","SRD129_P132_N_D14",132,"N","D14","BB","Lachnospiraceae_AC2044_group",0,"D14_BB",0
