"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0538",5.1458357138965,-5.26922413143004,1.09730020228951,-4.80198957444447,1.57096874244762e-06,1.12324265085005e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium_12","0.0e+00","Control","Otu0538","D36_BBvsControl","Lachnospiraceae Lachnoclostridium_12"
"Otu05493",4.59154438270672,3.23731171456131,0.620050480100671,5.22104541236013,1.77915901572191e-07,1.59012337030146e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Ignavigranum","0.0e+00","BB","Otu0549","D36_BBvsControl","Aerococcaceae Ignavigranum"
"Otu0571",1.44771164914235,3.95090379876639,1.17317735514452,3.36769524355478,0.000757993341271864,0.00323561336722019,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella","3.0e-03","BB","Otu0571","D36_BBvsControl","Lachnospiraceae Tyzzerella"
"Otu0595",5.74410840236928,-6.06791639275394,0.805246619464829,-7.53547577360425,4.86557521686575e-14,1.19569730231171e-12,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","0.0e+00","Control","Otu0595","D36_BBvsControl","Alphaproteobacteria_unclassified Alphaproteobacteria_unclassified"
"Otu0611",2.59883249409256,-4.83139329949179,0.979218704721083,-4.93392668685588,8.05927008768834e-07,6.22959795967261e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","0.0e+00","Control","Otu0611","D36_BBvsControl","Muribaculaceae CAG-873"
"Otu0647",3.27361060116064,4.48871400292469,0.998607953024643,4.49497121400746,6.95793592093233e-06,4.52265834860601e-05,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","0.0e+00","BB","Otu0647","D36_BBvsControl","Microbacteriaceae Pseudoclavibacter"
"Otu06641",1.9004553093002,3.36412028454081,0.847201224305897,3.97086334158334,7.16126501741603e-05,0.000372385780905633,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","0.0e+00","BB","Otu0664","D36_BBvsControl","Bifidobacteriaceae Bifidobacterium"
"Otu0706",0.922594477712024,2.95861966887928,1.03875750584272,2.84822940122008,0.00439632223196157,0.0157168519792626,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Helcococcus","1.6e-02","BB","Otu0706","D36_BBvsControl","Family_XI Helcococcus"
"Otu0727",0.713373275645865,-3.08682685739886,1.12696040760072,-2.73907302916761,0.00616126858160226,0.0212303953534729,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium","2.1e-02","Control","Otu0727","D36_BBvsControl","Actinomycetaceae Arcanobacterium"
"Otu0817",1.05202561288146,-3.49234838938772,0.977219253465675,-3.57376134066355,0.000351889686737247,0.00157250703760707,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Puniceicoccaceae_unclassified","2.0e-03","Control","Otu0817","D36_BBvsControl","Puniceicoccaceae Puniceicoccaceae_unclassified"
